,Unnamed: 0.1,Unnamed: 0,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,Lable2Class
148,148,148,2017-05-30,25.0,25.0,25.0,25.0,30000.0,1.29,5.44,24.08,24.87,24.892,50769.42,60873.37,52761.94,01
149,149,149,2017-05-26,24.11,24.19,23.71,23.65,31038.52,-0.28,-1.17,24.26,24.882,24.938,62488.75,66521.37,53280.01,10
150,150,150,2017-05-25,23.84,24.24,24.11,23.4,43692.84,0.28,1.18,24.588,24.873,25.036,65516.14,66845.83,54806.52,01
151,151,151,2017-05-24,23.37,23.97,23.83,22.72,50011.15,0.08,0.34,24.91,24.849,25.1,69656.49,68343.94,54228.01,01
152,152,152,2017-05-23,25.91,25.91,23.75,23.7,99104.58,-2.15,-8.3,25.234,24.915,25.167,72899.2,66738.67,53385.45,10
153,153,153,2017-05-22,25.6,26.15,25.9,25.4,88596.68,0.55,2.17,25.66,25.038,25.231,70977.33,60478.1,51009.55,01
154,154,154,2017-05-19,25.74,25.9,25.35,25.0,46175.46,-0.37,-1.44,25.504,24.941,25.236,70553.99,55367.23,48158.48,10
155,155,155,2017-05-18,25.2,25.98,25.72,25.11,64394.57,0.27,1.06,25.158,24.916,25.281999999999996,68175.52,54798.8,48500.99,01
156,156,156,2017-05-17,25.75,26.05,25.45,25.39,66224.69,-0.43,-1.66,24.788,24.874,25.327,67031.39,53102.68,49896.46,10
157,157,157,2017-05-16,24.94,25.88,25.88,24.72,89495.23,0.76,3.02,24.596,24.930999999999997,25.416,60578.14,50468.61,55193.01,01
158,158,158,2017-05-15,23.9,25.19,25.12,23.88,86480.0,1.5,6.35,24.416,24.914,25.636,49978.88,44650.5,53212.33,01
159,159,159,2017-05-12,23.84,23.93,23.62,23.23,34283.09,-0.25,-1.05,24.378,24.994,25.885,40180.46,40038.65,52616.59,10
160,160,160,2017-05-11,24.28,24.49,23.87,22.96,58673.95,-0.62,-2.53,24.674,25.199,26.246,41422.08,42767.22,54116.24,10
161,161,161,2017-05-10,25.04,25.42,24.49,24.48,33958.44,-0.49,-1.96,24.96,25.35,26.589,39173.96,40112.09,55399.7,10
162,162,162,2017-05-09,24.78,25.1,24.98,24.16,36498.93,0.05,0.2,25.266,25.419,26.954,40359.08,40032.23,60503.81,01
163,163,163,2017-05-08,25.2,25.5,24.93,24.89,37487.89,-0.17,-0.68,25.412,25.423,27.244,39322.12,41541.0,66687.41,10
164,164,164,2017-05-05,25.03,25.85,25.1,24.95,40491.17,-0.2,-0.79,25.61,25.53,27.605,39896.84,40949.73,73560.24,10
165,165,165,2017-05-04,25.8,25.86,25.3,25.24,47433.37,-0.72,-2.77,25.724,25.647,28.001,44112.36,42203.19,78769.05,10
166,166,166,2017-05-03,25.72,26.3,26.02,25.43,39884.02,0.31,1.21,25.74,25.779,28.401,41050.21,46690.24,88147.47,01
167,167,167,2017-05-02,25.9,26.09,25.71,25.61,31314.14,-0.21,-0.81,25.572,25.901,28.704,39705.39,59917.42,98373.5,10
168,168,168,2017-04-28,25.5,26.16,25.92,25.4,40361.5,0.25,0.97,25.434,26.357,29.013,43759.89,61774.16,110467.48,01
169,169,169,2017-04-27,25.17,25.89,25.67,24.2,61568.76,0.29,1.14,25.45,26.775,29.241999999999997,42002.61,65194.53,113645.83,01
170,170,170,2017-04-26,25.09,25.59,25.38,25.09,32122.64,0.2,0.79,25.57,27.292,29.476,40294.01,65465.25,114350.91,01
171,171,171,2017-04-25,25.05,25.48,25.18,25.01,33159.91,0.16,0.64,25.818,27.827,29.764,52330.27,70687.31,118908.42,01
172,172,172,2017-04-24,26.01,26.17,25.02,24.51,51586.62,-0.98,-3.77,26.23,28.488000000000003,30.021,80129.44,80975.39,121324.55,10
173,173,173,2017-04-21,26.27,26.62,26.0,25.96,31575.12,-0.27,-1.03,27.28,29.064,30.281999999999996,79788.44,91833.82,124824.45,10
174,174,174,2017-04-20,26.64,26.87,26.27,26.01,53025.78,-0.35,-1.31,28.1,29.68,30.526999999999997,88386.46,106170.75,128928.39,10
175,175,175,2017-04-19,26.6,26.66,26.62,25.2,92303.9,-0.62,-2.28,29.014,30.354,30.78,90636.49,115334.92,133599.26,10
176,176,176,2017-04-18,30.25,30.25,27.24,27.24,172155.8,-3.03,-10.01,29.836,31.022,31.017,89044.34,129604.71,136176.44,10
177,177,177,2017-04-17,30.0,30.59,30.27,29.71,49881.59,0.17,0.56,30.746,31.507,31.243,81821.33,136829.57,142277.1,01
178,178,178,2017-04-14,30.67,30.94,30.1,29.88,74565.22,-0.74,-2.4,30.848000000000003,31.669,31.274,103879.19,159160.79,146620.24,10
179,179,179,2017-04-13,30.59,31.3,30.84,30.5,64275.95,0.11,0.36,31.26,31.709,31.293000000000003,123955.05,162097.12,148210.59,01
180,180,180,2017-04-12,31.6,31.74,30.73,30.65,84343.16,-1.06,-3.33,31.694000000000003,31.66,31.294,140033.35,163236.56,155308.98,10
181,181,181,2017-04-11,30.79,31.83,31.79,30.43,136040.73,1.01,3.28,32.208,31.7,31.27,170165.07,167129.53,158387.24,01
